job_id,group_id,p_times,s_fracs,d_dates
1,1,356.3540559562745,0.5047221997788929,18059.348546156834
2,5,451.781925962594,0.4447704229458371,18935.190216106304
3,5,128.346104330866,0.5458639474806204,1833.3076827664831
4,8,8.072154420097842,0.6129627116051685,4575.512688917635
5,8,391.6115301864598,0.48190374614532067,12777.138227337446
6,4,53.502493217643824,0.5348119424150624,2670.926403400497
7,3,465.903949116868,0.6231920545640433,18602.716320040992
8,6,313.6747532653219,0.25371209036633047,583.3151498936345
9,8,100.48529456486743,0.347188676963654,20084.130343170276
10,3,459.65862642857235,0.5501018605905976,10076.601789948021
11,6,419.2379719215157,0.7378617577399913,15427.346584797895
12,5,451.7554584647834,0.603890137041731,10637.661764005801
13,3,47.373307483432086,0.3549187092203051,15866.117879129286
14,8,355.78891478962623,0.4792361189189652,19994.01325511718
15,1,21.222712118566832,0.6722475790893363,12066.494814062451
16,2,180.5598999880911,0.7126308347292334,6023.059159724363
17,3,431.56613918795426,0.7086552919451296,4530.402085298064
18,7,389.1648789430711,0.6164506323906718,9130.413151450663
19,8,321.99579334943206,0.5089529916029201,18464.21886511925
20,1,298.3936953941574,0.36917273370041337,17660.199614070974
21,4,30.85963170790606,0.5069588046197357,15266.49738453024
22,6,205.37174303258362,0.6041644038105133,1549.9451706733678
23,8,402.9987265784906,0.3437393719856062,12315.450824318938
24,7,3.6109551683394434,0.4856222880807901,18869.130204748526
25,2,272.71966626381635,0.33375818089709547,8208.109433243118
26,5,242.02234314966523,0.5362025474436988,16840.853772469367
27,2,370.7572633623825,0.46983288711969173,14221.688283856367
28,4,483.51575135835975,0.26534969030675104,8621.754845658215
29,1,12.970670704709777,0.6565652304134193,6327.0716100642985
30,5,35.56737873256945,0.6127681657492017,15769.278563944099
31,3,333.34343463076397,0.4584865054187831,2349.519517703272
32,1,204.72151372424307,0.3601042509541744,7504.948203950444
33,5,18.08175184964236,0.6794720935894576,6020.057568040049
34,2,46.94928608288141,0.29648445033278953,6827.602002372575
35,6,238.76473420689808,0.6690907872948866,20304.080787540708
36,1,328.8944771450838,0.6865878742299094,19475.385991523683
37,5,287.29577697147323,0.6632832892445732,12894.844313022173
38,1,41.977804187468294,0.7061223840648371,5724.15672355403
39,3,281.39446964512774,0.5399771608718514,18216.926121377444
40,5,63.14121542970608,0.6607114262941063,14074.617859311313
41,1,165.74149585109015,0.5303187903566311,1230.2728978513449
42,4,51.35067578290016,0.45503905209434553,7748.469640595559
43,6,483.81875466887294,0.25917010489715014,15964.565191366748
44,8,209.3781306278252,0.41761057871996643,19293.47899180687
45,8,345.5146589625319,0.4377011901243656,19021.46286743975
46,7,176.88124155166318,0.6944562619472072,4618.192040632635
47,6,118.01611941793777,0.5225603357252149,9858.15978542505
48,1,427.3337259603255,0.3236816887359223,1201.863097460595
49,8,293.1000104766373,0.34729718518115354,3297.351471492778
50,1,143.48949125288578,0.40803461220605247,7217.6063402149
51,6,276.1668721566446,0.552291884007407,1610.716129646635
52,6,291.97223572618526,0.5028449109697518,13561.5562425306
53,3,1.2239506525033086,0.7079234049997767,19193.847996233937
54,5,378.4846066474227,0.40086786842801186,16253.754729760678
55,2,444.6167064372431,0.7177278638348821,20276.417224312827
56,6,6.508974167732939,0.6612956683170352,10607.54746745614
57,6,94.81915020218419,0.6862334347403907,10457.520880432701
58,1,309.230956500736,0.5270392585590444,5797.053955670231
59,7,60.643725534451114,0.3724543302632597,18749.656347641398
60,5,257.2336490587239,0.405287973596413,15255.178597007183
61,2,203.3200393058967,0.43947725685400846,15295.623144446972
62,7,18.12980685379743,0.5098113281621934,7166.517715754701
63,3,346.52504109692165,0.45924647188963885,12245.230414727765
64,5,219.36396660824875,0.38092940492716193,8332.925607006775
65,5,360.62461899566466,0.31122498675000804,12162.586362515845
66,7,484.563156626034,0.6205703873280297,12356.461435349298
67,1,72.52128058683223,0.2723281560061146,7772.588857576629
68,7,108.85497675606503,0.7096911197331717,411.78511535212914
69,8,486.41994936641237,0.5213035155195753,6892.342066467311
70,5,473.5513944743303,0.6044712466120198,1527.7870052202138
71,6,331.33979721659085,0.6865478622993066,1453.5198083229457
72,1,297.5219492640555,0.7087774769922102,6303.811116549352
73,3,407.3065290269173,0.7270983148589893,10389.302547668714
74,5,437.54646892303543,0.3633846640791531,15602.803081151356
75,7,178.4920286229909,0.6001269453719669,1019.4024084721558
76,1,168.9078393672409,0.5565602958666337,1625.0086026783176
77,6,219.60484271375773,0.6548377508172197,9023.860223248712
78,1,217.69846433139136,0.6529290220166325,13689.019205360639
79,7,176.22635069846757,0.6203839578023227,20265.94918704735
80,6,202.56373978121468,0.6543122476562577,15977.841499453165
